ID,First Name,Last Name,Money Available,Concerts Purchased,TicketMiner Membership,Username,Password
1,Mickey,Mouse,2340.86,0,true,mickeymouse,Fun!23
2,Donald,Duck,4850.84,0,false,donaldduck,Fun!23
3,Minnie,Mouse,1365.7,0,true,minniemouse,Fun!23
4,Goofy,Disney,4171.07,0,true,goofydisney,Fun!23
5,Pluto,Disney,5578.81,0,false,plutodisney,Fun!23
6,Chip,Disney,4886.52,0,true,chipdisney,Fun!23
7,Dale,Disney,4881.4,0,false,daledisney,Fun!23
8,Cinderella,Disney,3933.93,0,true,cinderelladisney,Fun!23
9,Ariel,Disney,3026.28,0,true,arieldisney,Fun!23
10,Jasmine,Disney,2348.55,0,true,jasminedisney,Fun!23
11,Aladdin,Disney,5185.43,0,true,aladdindisney,Fun!23
12,Simba,Disney,5095.66,0,false,simbadisney,Fun!23
13,Mufassa,Disney,2487.49,0,false,mufassadisney,Fun!23
14,Aurora,Disney,2909.45,0,true,auroradisney,Fun!23
15,Peter,Pan,3106.39,0,false,peterpan,Fun!23
16,Woody,Disney,5541.84,0,false,woodydisney,Fun!23
17,Buzz,Lightyear,4867.96,0,true,buzzlightyear,Fun!23
18,Jafar,Aladdin,2406.24,0,false,jafaraladdin,Fun!23
19,Ursela,Mermaid,1424.75,0,true,urselamermaid,Fun!23
20,Beast,Disney,2894.24,0,false,beastdisney,Fun!23
21,Belle,Disney,5942.57,0,true,belledisney,Fun!23
22,Cruella,De Vil,1616.79,0,false,cruellade vil,Fun!23
23,Scar,Lion,3633.47,0,false,scarlion,Fun!23
24,Simba,King,3720.37,0,true,simbaking,Fun!23
25,Gaston,Disney,2360.91,0,false,gastondisney,Fun!23
26,Shere,Khan,2030,0,true,sherekhan,Fun!23
27,Captaiin,Hook,5205.45,0,true,captaiinhook,Fun!23
28,Kaa,Disney,1470.67,0,false,kaadisney,Fun!23
29,Evil,Queen,3606.52,0,false,evilqueen,Fun!23
30,Pinocchio,Disney,918.29,0,false,pinocchiodisney,Fun!23
31,Prince,Eric,3946.76,0,true,princeeric,Fun!23
32,Quasimodo,Disney,2663.47,0,false,quasimododisney,Fun!23
33,Hercules,Disney,1405.23,0,true,herculesdisney,Fun!23
34,Mulan,Disney,5554.95,0,false,mulandisney,Fun!23
35,Lilo,Disney,3670.28,0,false,lilodisney,Fun!23
36,Stitch,Disney,2298.73,0,true,stitchdisney,Fun!23
37,Daniel,Mejia,2011.02,0,false,danielmejia,Fun!23
38,Alireza,Nouri,5158.27,0,false,alirezanouri,Fun!23
39,Isabella,Gaytan,2205.15,0,true,isabellagaytan,Fun!23
40,Alondra,Gonzalez,2166.56,0,false,alondragonzalez,Fun!23
41,Aguayo,Angel,5372.42,0,true,aguayoangel,Fun!23
42,Alvarez,Cesar,830.4,0,true,alvarezcesar,Fun!23
43,Aranda,Javier,5273.49,0,true,arandajavier,Fun!23
44,Ayala,Rafael,2483.49,0,true,ayalarafael,Fun!23
45,BaezRamirez,Raul,4849.52,0,false,baezramirezraul,Fun!23
46,Baquier,Alondra,1642.05,0,true,baquieralondra,Fun!23
47,Booth,Darien,3048.09,0,true,boothdarien,Fun!23
48,Canizales,Gabriela,3869.68,0,false,canizalesgabriela,Fun!23
49,Carrillo,Steven,4074.78,0,false,carrillosteven,Fun!23
50,Cheng,Bungein,966.33,0,false,chengbungein,Fun!23
51,Contreras,Valeria,2163.59,0,true,contrerasvaleria,Fun!23
52,DiazCaraveo,Cesar,3177.86,0,true,diazcaraveocesar,Fun!23
53,Diaz,Hector,3130.25,0,true,diazhector,Fun!23
54,GarciaFernandez,Marco,5252.75,0,false,garciafernandezmarco,Fun!23
55,Garcia,Christian,5244.23,0,true,garciachristian,Fun!23
56,Garcia,Isabella,2103.76,0,false,garciaisabella,Fun!23
